Year   MDR       Trop       RSST
1979   25.8815   26.0662   -0.184786
1980   26.1618   26.1892   -0.027408
1981   25.9367   26.0803   -0.143523
1982   25.6401   26.0803   -0.440277
1983   26.0191   26.2762   -0.257053
1984   25.4136   26.0514   -0.637845
1985   25.3156   25.929   -0.613432
1986   25.2541   26.0339   -0.779784
1987   26.1229   26.2814   -0.15847
1988   26.0312   26.2802   -0.248958
1989   25.2383   26.0507   -0.812394
1990   25.7891   26.2043   -0.415225
1991   25.4545   26.262   -0.807523
1992   25.5133   26.212   -0.698753
1993   25.683   26.1973   -0.51427
1994   25.3179   26.1244   -0.806487
1995   26.0314   26.2623   -0.230868
1996   25.7762   26.1705   -0.394307
1997   25.9394   26.2304   -0.290986
1998   26.1855   26.4918   -0.306233
1999   25.7128   26.085   -0.372221
2000   25.469   26.0967   -0.627685
2001   25.7141   26.3245   -0.610458
2002   25.5973   26.3925   -0.795186
2003   25.7744   26.3564   -0.582001
2004   25.881   26.2903   -0.409243
2005   26.6052   26.3974   0.207824
2006   26.0798   26.3378   -0.258021
2007   26.0442   26.3174   -0.273175
2008   25.8614   26.1906   -0.329134
2009   25.564   26.4061   -0.842056
2010   26.8515   26.542   0.309577
2011   26.1822   26.2474   -0.0651757
2012   25.9108   26.3084   -0.397639
2013   26.1131   26.3234   -0.210311
2014   25.7131   26.4651   -0.751954
2015   25.7128   26.64   -0.927287
2016   26.2468   26.7718   -0.525051
2017   26.28   26.6529   -0.372974
2018   25.4959   26.4271   -0.931239
