Year	NATL	EPAC	WPAC
1979	94.0	92.5	189.2
1980	137.8	87.5	152.9
1981	88.2	77.7	134.0
1982	26.8	177.4	279.6
1983	17.4	225.0	156.6
1984	56.9	196.2	177.7
1985	73.6	170.7	174.2
1986	33.9	132.0	199.7
1987	37.1	189.1	313.2
1988	100.2	179.9	176.3
1989	135.1	124.7	199.3
1990	98.4	280.6	189.3
1991	38.6	218.7	254.1
1992	78.5	347.0	312.7
1993	42.6	233.3	206.0
1994	12.8	243.3	422.0
1995	235.2	144.1	210.4
1996	174.9	191.9	332.7
1997	45.0	298.5	360.3
1998	186.6	154.7	141.6
1999	157.9	106.3	106.4
2000	128.6	88.4	210.8
2001	86.5	131.2	244.5
2002	72.0	179.6	303.9
2003	172.5	91.7	197.1
2004	231.9	129.1	270.3
2005	238.0	105.2	239.5
2006	90.9	208.3	261.9
2007	74.1	95.9	164.7
2008	147.3	80.1	100.6
2009	51.2	150.9	204.4
2010	165.0	27.2	118.5
2011	130.3	112.3	153.5
2012	132.7	159.0	214.4
2013	31.1	108.2	224.9
2014	78.3	230.7	205.2
2015	58.7	288.4	332.3
2016	137.4	196.3	232.0
2017	226.6	115.0	152.2
2018	149.5	202.9	299.5
